,leaf_ID,disease_binary
6495,5666,0
6496,5666,0
6497,5666,0
6498,5666,0
6499,5653,0
6500,5653,0
6501,5653,0
6502,5653,0
6503,3217,0
6504,3217,0
6505,3217,0
6506,3217,0
6507,596,0
6508,596,0
6509,596,0
6510,596,0
6511,4329,0
6512,4329,0
6513,4329,0
6514,4329,0
6515,3369,0
6516,3369,0
6517,3369,0
6518,3369,0
6519,172,0
6520,172,0
6521,172,0
6522,172,0
6523,5743,0
6524,5743,0
6525,5743,0
6526,5743,0
6527,5809,0
6528,5809,0
6529,5809,0
6530,5809,0
6531,1301,0
6532,1301,0
6533,1301,0
6534,1301,0
6535,2009,0
6536,2009,0
6537,2009,0
6538,2009,0
6539,3840,0
6540,3840,0
6541,3840,0
6542,3840,0
6543,2193,0
6544,2193,0
6545,2193,0
6546,2193,0
6547,2107,0
6548,2107,0
6549,2107,0
6550,2107,0
6551,1639,0
6552,1639,0
6553,1639,0
6554,1639,0
6555,637,0
6556,637,0
6557,637,0
6558,637,0
6559,1005,0
6560,1005,0
6561,1005,0
6562,1005,0
6563,1599,0
6564,1599,0
6565,1599,0
6566,1599,0
6567,712,0
6568,712,0
6569,712,0
6570,712,0
6571,5165,0
6572,5165,0
6573,5165,0
6574,5165,0
6575,5135,0
6576,5135,0
6577,5135,0
6578,5135,0
6579,4263,0
6580,4263,0
6581,4263,0
6582,4263,0
6583,5819,0
6584,5819,0
6585,5819,0
6586,5819,0
6587,919,0
6588,919,0
6589,919,0
6590,919,0
6591,4,0
6592,4,0
6593,4,0
6594,4,0
6595,1458,0
6596,1458,0
6597,1458,0
6598,1458,0
6599,915,0
6600,915,0
6601,915,0
6602,915,0
6603,4197,0
6604,4197,0
6605,4197,0
6606,4197,0
6607,2551,0
6608,2551,0
6609,2551,0
6610,2551,0
6611,5710,0
6612,5710,0
6613,5710,0
6614,5710,0
6615,5646,0
6616,5646,0
6617,5646,0
6618,5646,0
6619,5909,0
6620,5909,0
6621,5909,0
6622,5909,0
6623,5717,0
6624,5717,0
6625,5717,0
6626,5717,0
6627,5277,0
6628,5277,0
6629,5277,0
6630,5277,0
6631,3189,0
6632,3189,0
6633,3189,0
6634,3189,0
6635,255,0
6636,255,0
6637,255,0
6638,255,0
6639,3459,0
6640,3459,0
6641,3459,0
6642,3459,0
6643,706,0
6644,706,0
6645,706,0
6646,706,0
6647,1920,0
6648,1920,0
6649,1920,0
6650,1920,0
6651,2811,0
6652,2811,0
6653,2811,0
6654,2811,0
6655,6046,0
6656,6046,0
6657,6046,0
6658,6046,0
6659,5082,0
6660,5082,0
6661,5082,0
6662,5082,0
6663,1063,0
6664,1063,0
6665,1063,0
6666,1063,0
6667,1629,0
6668,1629,0
6669,1629,0
6670,1629,0
6671,5439,0
6672,5439,0
6673,5439,0
6674,5439,0
6675,3838,0
6676,3838,0
6677,3838,0
6678,3838,0
6679,2598,0
6680,2598,0
6681,2598,0
6682,2598,0
6683,5358,0
6684,5358,0
6685,5358,0
6686,5358,0
6687,4802,0
6688,4802,0
6689,4802,0
6690,4802,0
6691,2580,0
6692,2580,0
6693,2580,0
6694,2580,0
6695,4163,0
6696,4163,0
6697,4163,0
6698,4163,0
6699,327,0
6700,327,0
6701,327,0
6702,327,0
6703,182,0
6704,182,0
6705,182,0
6706,182,0
6707,1201,0
6708,1201,0
6709,1201,0
6710,1201,0
6711,1943,0
6712,1943,0
6713,1943,0
6714,1943,0
6715,4874,0
6716,4874,0
6717,4874,0
6718,4874,0
6719,2608,0
6720,2608,0
6721,2608,0
6722,2608,0
6723,1922,0
6724,1922,0
6725,1922,0
6726,1922,0
6727,181,0
